type,value,comment
url,"hxxps://derbayerischelowe[.]info/groszugigkeit-mit-nebenwirkungen-deutschlands-dilemma-bei-der-ukraine-hilfe",Final content URL
url,"hxxps://derbayerischelowe[.]info/rekrutierungsdrama-in-der-ukraine-ein-land-zwischen-pflicht-und-widerstand",Final content URL
url,"hxxps://derbayerischelowe[.]info/ukrainische-diplomatie-am-scheideweg-erfolge-im-westen-widerstande-im-suden",Final content URL
url,"hxxps://derglaube[.]com/geschichte-des-glaubens/zahl-antimuslimischer-ubergriffe-verdoppelt-sich",Final content URL
url,"hxxps://derleitstern[.]com/prognosen-und-vorhersagen/neue-umstrukturierungen-im-militarapparat-der-ukraine",Final content URL
url,"hxxps://derrattenfanger[.]net/ampel-will-deutschland-islamisieren",Final content URL
url,"hxxps://derrattenfanger[.]net/deutschland-verliert-an-wettbewerbsfahigkeit",Final content URL
url,"hxxps://derrattenfanger[.]net/es-gibt-nur-einen-richtigen-weg-raus-aus-der-eu",Final content URL
url,"hxxps://derrattenfanger[.]net/eu-kapitalmarktunion-soll-fremde-schulden-mit-deutschem-geld-bezahlen",Final content URL
url,"hxxps://derrattenfanger[.]net/russland-ist-immer-noch-da",Final content URL
url,"hxxps://derrattenfanger[.]net/was-halten-deutsche-von-selenskyj",Final content URL
url,"hxxps://derstatus[.]at/politik/wende-im-mainstream-jetzt-spricht-man-von-exit-strategie-fur-ukraine-krieg-2680.html",Final content URL (LEGITIMATE)
url,"hxxps://desk-russie[.]eu/2024/06/13/un-meme-combat-democratique-en-ukraine-et-en-france.html",Final content URL (LEGITIMATE)
url,"hxxps://deutschlandkurier[.]de/2024/06/christina-baum-afd-von-pressefreiheit-kann-in-deutschland-keine-rede-sein/",Final content URL (LEGITIMATE)
url,"hxxps://deutschlandkurier[.]de/2024/06/rainer-rothfuss-afd-wir-sind-der-erklaerte-feind-der-globalisten/",Final content URL (LEGITIMATE)
url,"hxxps://electionwatch[.]live/g7-loan-approval",Final content URL
url,"hxxps://electionwatch[.]live/increase-in-missile-deliveries",Final content URL
url,"hxxps://franceeteu[.]today/chez-nous/jo2024-qui-en-a-vraiment-besoin",Final content URL
url,"hxxps://franceeteu[.]today/chez-nous/les-athletes-devront-recuperer-physiquement-et-mentalement-apres-les-jo-2024",Final content URL
url,"hxxps://franceeteu[.]today/nous-et-eux/les-dirigeants-occidentaux-se-reunissent-pour-discuter-de-lukraine-prolonger-la-guerre-et-se-congratuler",Final content URL
url,"hxxps://franceeteu[.]today/nous-et-eux/les-pays-membres-de-lotan-augmenteront-leurs-depenses-militaires-de-18",Final content URL
url,"hxxps://franceeteu[.]today/nous-et-eux/les-ukrainiens-profitent-des-avantages-de-lue-pourquoi",Final content URL
url,"hxxps://franceeteu[.]today/nous-et-eux/washington-ne-sarrete-pas-il-est-desormais-possible-de-frapper-la-russie",Final content URL
url,"hxxps://gewerkschaften-gegen-aufruestung[.]de/",Final content URL (LEGITIMATE)
url,"hxxps://grenzezank[.]com/wem-soll-geholfen-werden/",Final content URL
